ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_i,I,1209,I,1
2_all,all,98,ALL,2
3_and,and,1577,AND,3
4_animal,animal,619,ANIMAL,4
5_ashes,ashes,646,ASH,5
6_at,at,1461,AT,6
7_back,back,1291,BACK,7
8_bad,bad,1292,BAD,8
9_bark,bark,1204,BARK,9
10_because,because,1157,BECAUSE,10
11_belly,belly,1251,BELLY,11
12_big,big,1202,BIG,12
13_bird,bird,937,BIRD,13
14_bite,bite,1403,BITE,14
15_black,black,163,BLACK,15
16_blood,blood,946,BLOOD,16
17_blow,blow,175,BLOW (OF WIND),17
18_bone,bone,1394,BONE,18
19_breast,breast,1402,BREAST,19
20_breathe,breathe,1407,BREATHE,20
21_burn,burn,2102,BURN,21
22_child,child,2099,CHILD,22
23_cloud,cloud,1489,CLOUD,23
24_cold,cold,1287,COLD,24
25_come,come,1446,COME,25
26_count,count,1420,COUNT,26
27_cut,cut,1432,CUT,27
28_day,day,1225,DAY (NOT NIGHT),28
29_die,die,1494,DIE,29
30_dig,dig,1418,DIG,30
31_dirty,dirty,1230,DIRTY,31
32_dog,dog,2009,DOG,32
33_drink,drink,1401,DRINK,33
34_dry,dry,1398,DRY,34
35_dull,dull,379,BLUNT,35
36_dust,dust,2,DUST,36
37_ear,ear,1247,EAR,37
38_earth,earth,1228,EARTH (SOIL),38
39_eat,eat,1336,EAT,39
40_egg,egg,744,EGG,40
41_eye,eye,1248,EYE,41
42_fall,fall,1280,FALL,42
43_far,far,1406,FAR,43
44_fat,fat,323,FAT (ORGANIC SUBSTANCE),44
45_father,father,1217,FATHER,45
46_fear,fear,1419,FEAR (BE AFRAID),46
47_feather,feather,1201,FEATHER,47
48_few,few,1242,FEW,48
49_fight,fight,1423,FIGHT,49
50_fingernail,fingernail,1258,FINGERNAIL,50
51_fire,fire,221,FIRE,51
52_fish,fish,227,FISH,52
53_five,five,493,FIVE,53
54_float,float,1574,FLOAT,54
55_flow,flow,2003,FLOW,55
56_flower,flower,239,FLOWER,56
57_fly,fly,1441,FLY (MOVE THROUGH AIR),57
58_fog,fog,249,FOG,58
59_foot,foot,1301,FOOT,59
60_four,four,1500,FOUR,60
61_freeze,freeze,1431,FREEZE,61
62_fruit,fruit,1507,FRUIT,62
63_full,full,1429,FULL,63
64_give,give,1447,GIVE,64
65_good,good,1035,GOOD,65
66_grass,grass,606,GRASS,66
67_green,green,1425,GREEN,67
68_guts,guts,1334,GUTS,68
69_hair,hair,1040,HAIR,69
70_hand,hand,1277,HAND,70
71_he,he,1211,HE,71
72_head,head,1256,HEAD,72
73_hear,hear,1408,HEAR,73
74_heart,heart,1223,HEART,74
75_heavy,heavy,1210,HEAVY,75
76_here,here,136,HERE,76
77_hit,hit,1433,HIT,77
78_hold,hold,1448,HOLD,78
79_horn,horn,1393,HORN (ANATOMY),79
80_how,how,1239,HOW,80
81_hunt,hunt,1435,HUNT,81
82_husband,husband,1200,HUSBAND,82
83_ice,ice,617,ICE,83
84_if,if,1459,IF,84
85_in,in,1460,IN,85
86_kill,kill,1417,KILL,86
87_knee,knee,1371,KNEE,87
88_know,know,3626,KNOW,88
89_lake,lake,624,LAKE,89
90_laugh,laugh,1355,LAUGH,90
91_leaf,leaf,628,LEAF,91
92_left,left,244,LEFT,92
93_leg,leg,1297,LEG,93
94_lie,lie,1411,LIE (REST),94
95_live,live,1422,BE ALIVE,95
96_liver,liver,1224,LIVER,96
97_long,long,1203,LONG,97
98_louse,louse,1392,LOUSE,98
99_man,man,1554,MAN,99
100_many,many,1198,MANY,100
101_meat,meat,634,MEAT,101
102_moon,moon,1313,MOON,102
103_mother,mother,1216,MOTHER,103
104_mountain,mountain,639,MOUNTAIN,104
105_mouth,mouth,674,MOUTH,105
106_name,name,1405,NAME,106
107_narrow,narrow,1267,NARROW,107
108_near,near,1942,NEAR,108
109_neck,neck,1333,NECK,109
110_new,new,1231,NEW,110
111_night,night,1233,NIGHT,111
112_nose,nose,1221,NOSE,112
113_not,not,1240,NOT,113
114_old,old,1229,OLD,114
115_one,one,1493,ONE,115
116_other,other,197,OTHER,116
117_person,person,683,PERSON,117
118_play,play,1413,PLAY,118
119_pull,pull,1455,PULL,119
120_push,push,1452,PUSH,120
121_rain,rain,2108,RAINING OR RAIN,121
122_red,red,156,RED,122
123_right,right,1725,CORRECT (RIGHT),123
124_rightside,rightside,1019,RIGHT,124
125_river,river,666,RIVER,125
126_road,road,667,ROAD,126
127_root,root,670,ROOT,127
128_rope,rope,1218,ROPE,128
129_rotten,rotten,1728,ROTTEN,129
130_round,round,1395,ROUND,130
131_rub,rub,1449,RUB,131
132_salt,salt,1274,SALT,132
133_sand,sand,671,SAND,133
134_say,say,1458,SAY,134
135_scratch,scratch,1436,SCRATCH,135
136_sea,sea,1474,SEA,136
137_see,see,1409,SEE,137
138_seed,seed,714,SEED,138
139_sew,sew,1457,SEW,139
140_sharp,sharp,1396,SHARP,140
141_short,short,1645,SHORT,141
142_sing,sing,1261,SING,142
143_sit,sit,1416,SIT,143
144_skin,skin,763,SKIN,144
145_sky,sky,1732,SKY,145
146_sleep,sleep,1585,SLEEP,146
147_small,small,1246,SMALL,147
148_smell,smell,2124,SMELL,148
149_smoke,smoke,778,SMOKE (EXHAUST),149
150_smooth,smooth,1234,SMOOTH,150
151_snake,snake,730,SNAKE,151
152_snow,snow,784,SNOW,152
153_some,some,1241,SOME,153
154_spit,spit,1440,SPIT,154
155_split,split,1437,SPLIT,155
156_squeeze,squeeze,1414,SQUEEZE,156
157_stab,stab,1434,STAB,157
158_stand,stand,1442,STAND,158
159_star,star,1430,STAR,159
160_stick,stick,1295,STICK,160
161_stone,stone,857,STONE,161
162_straight,straight,1404,STRAIGHT,162
163_suck,suck,1421,SUCK,163
164_sun,sun,1343,SUN,164
165_swell,swell,1573,SWELL,165
166_swim,swim,1439,SWIM,166
167_tail,tail,1220,TAIL,167
168_that,that,78,THAT,168
169_there,there,1937,THERE,169
170_they,they,817,THEY,170
171_thick,thick,1244,THICK,171
172_thin,thin,2308,THIN,172
173_think,think,2271,THINK,173
174_this,this,1214,THIS,174
175_thou,thou,1215,THOU,175
176_three,three,492,THREE,176
177_throw,throw,1456,THROW,177
178_tie,tie,1917,TIE,178
179_tongue,tongue,1205,TONGUE,179
180_tooth,tooth,1380,TOOTH,180
181_tree,tree,906,TREE,181
182_turn,turn,1588,TURN,182
183_two,two,1498,TWO,183
184_vomit,vomit,1278,VOMIT,184
185_walk,walk,1443,WALK,185
186_warm,warm,1232,WARM,186
187_wash,wash,1453,WASH,187
188_water,water,948,WATER,188
189_we,we,1212,WE,189
190_wet,wet,1726,WET,190
191_what,what,1236,WHAT,191
192_when,when,1238,WHEN,192
193_where,where,1237,WHERE,193
194_white,white,1335,WHITE,194
195_who,who,1235,WHO,195
196_wide,wide,1243,WIDE,196
197_wife,wife,1199,WIFE,197
198_wind,wind,960,WIND,198
199_wing,wing,1257,WING,199
200_wipe,wipe,1454,WIPE,200
201_with,with,1340,WITH,201
202_woman,woman,962,WOMAN,202
203_woods,woods,420,FOREST,203
204_worm,worm,1219,WORM,204
205_year,year,1226,YEAR,205
206_yellow,yellow,1424,YELLOW,206
207_you,you,1213,YOU,207
